Institution ID,Institution Name,Total Student Count,LRE Students >80%,LRE Students >80% Target,LRE Students <40%,LRE Students <40% Target,LRE Students Separate Settings,LRE Students Separate Settings Target,Elementary School Participation ELA,Elementary School Participation ELA Target,Middle School Participation ELA,Middle School Participation ELA Target,High School Participation ELA,High School Participation ELA Target,Elementary School Meet/Exceed ELA,Elementary School Meet/Exceed ELA Target,Middle School Meet/Exceed ELA,Middle School Meet/Exceed ELA Target,High School Meet/Exceed ELA,High School Meet/Exceed ELA Target,Elementary School Participation Math,Elementary School Participation Math Target,Middle School Participation Math,Middle School Participation Math Target,High School Participation Math,High School Participation Math Target,Elementary School Meet/Exceed Math,Elementary School Meet/Exceed Math Target,Middle School Meet/Exceed Math,Middle School Meet/Exceed Math Target,High School Meet/Exceed Math,High School Meet/Exceed Math Target,Special Education Eligibility,Special Education Eligibility Target,Parent Involvement,Parent Involvement Target,Secondary Transition,Secondary Transition Target,Alternate Assessment Elementary ELA,Alternate Assessment Elementary ELA Target,Alternate Assessment Middle ELA,Alternate Assessment Middle ELA Target,Alternate Assessment High ELA,Alternate Assessment High School ELA Target,Alternate Assessment Elementary Math,Alternate Assessment Elementary Math Target,Alternate Assessment Middle Math,Alternate Assessment Middle Math Target,Alternate Assessment High Math,Alternate Assessment High School Math Target,Gap In Proficiency Elementary ELA,Gap In Proficiency Elementary ELA Target,Gap In Proficiency Middle ELA,Gap In Proficiency Middle ELA Target,Gap In Proficiency High School ELA,Gap In Proficiency High School ELA Target,Gap In Proficiency Elementary Math,Gap In Proficiency Elementary Math Target,Gap In Proficiency Middle Math,Gap In Proficiency Middle Math Target,Gap In Proficiency High School Math,Gap In Proficiency High School Math Target,Graduation Rate,Graduation Rate Target,Dropout Rate,Dropout Rate Target,Higher Ed,Higher Ed Target,Higher Ed/Employed,Higher Ed/Employed Target,Higher Ed/Training/Employed,Higher Ed/Training/Employed Target
1970,Crook County SD,423,80.85%,77.00% or more,6.86%,8.40% or less,0.24%,1.60% or less,68.18%,95.00%,65.63%,95.00%,14.81%,95.00%,23.33%,26.93%,9.52%,15.73%,*,27.53%,68.18%,95.00%,65.63%,95.00%,7.41%,95.00%,13.33%,20.10%,<5%,9.75%,*,6.12%,97.06%,100.00%,78.26%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,22.36%,23.11%,47.77%,26.00%,*,27.55%,28.18%,16.18%,37.63%,17.00%,*,17.76%,87.50,82.00%,9.38%,11.82%,21.43%,34% or more,35.71%,58% or more,64.29%,76% or more
2089,Crow-Applegate-Lorane SD 66,52,88.46%,77.00% or more,3.85%,8.40% or less,1.92%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,100.00%,100.00%,83.33%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2050,Culver SD 4,103,90.29%,77.00% or more,4.85%,8.40% or less,0.00%,1.60% or less,>95%,95.00%,70.00%,95.00%,<5%,95.00%,9.09%,26.93%,*,15.73%,*,27.53%,>95%,95.00%,70.00%,95.00%,<5%,95.00%,<5%,20.10%,*,9.75%,*,6.12%,100.00%,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,28.41%,23.11%,*,26.00%,*,27.55%,31.91%,16.18%,*,17.00%,*,17.76%,87.50,82.00%,<5%,11.82%,25.00%,34% or more,100.00%,58% or more,100.00%,76% or more
2190,Dallas SD 2,474,67.09%,77.00% or more,7.81%,8.40% or less,1.48%,1.60% or less,>95%,95.00%,89.58%,95.00%,76.47%,95.00%,19.51%,26.93%,17.50%,15.73%,<5%,27.53%,>95%,95.00%,89.58%,95.00%,70.59%,95.00%,17.07%,20.10%,10.00%,9.75%,<5%,6.12%,100.00%,100.00%,83.67%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,19.78%,23.11%,23.39%,26.00%,24.77%,27.55%,16.09%,16.18%,<5%,17.00%,8.00%,17.76%,52.50,82.00%,37.50%,11.82%,40.00%,34% or more,45.00%,58% or more,55.00%,76% or more
2187,David Douglas SD 40,1229,77.22%,77.00% or more,10.50%,8.40% or less,2.36%,1.60% or less,86.61%,95.00%,86.05%,95.00%,85.19%,95.00%,6.59%,26.93%,13.89%,15.73%,7.58%,27.53%,86.61%,95.00%,82.56%,95.00%,77.78%,95.00%,9.89%,20.10%,8.70%,9.75%,<5%,6.12%,98.92%,100.00%,77.05%,86.22%,9.09%,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,25.42%,23.11%,26.57%,26.00%,30.15%,27.55%,16.75%,16.18%,18.28%,17.00%,11.90%,17.76%,53.93,82.00%,32.58%,11.82%,21.43%,34% or more,47.62%,58% or more,57.14%,76% or more
2253,Dayton SD 8,121,88.43%,77.00% or more,7.44%,8.40% or less,0.00%,1.60% or less,>95%,95.00%,*,95.00%,90.00%,95.00%,9.09%,26.93%,*,15.73%,*,27.53%,>95%,95.00%,*,95.00%,90.00%,95.00%,18.18%,20.10%,*,9.75%,*,6.12%,62.50%,100.00%,*,86.22%,25.00%,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,22.06%,23.11%,*,26.00%,*,27.55%,<5%,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2011,Dayville SD 16J,8,100.00%,77.00% or more,0.00%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2017,Diamond SD 7,*,*,77.00% or more,*,8.40% or less,*,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2021,Double O SD 28,*,*,77.00% or more,*,8.40% or less,*,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
1993,Douglas County SD 15,40,97.50%,77.00% or more,0.00%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
1991,Douglas County SD 4,805,69.19%,77.00% or more,18.39%,8.40% or less,0.12%,1.60% or less,91.25%,95.00%,>95%,95.00%,78.05%,95.00%,20.31%,26.93%,<5%,15.73%,<5%,27.53%,91.25%,95.00%,>95%,95.00%,78.05%,95.00%,10.94%,20.10%,<5%,9.75%,<5%,6.12%,98.17%,100.00%,78.79%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,19.50%,23.11%,42.96%,26.00%,54.06%,27.55%,21.34%,16.18%,26.69%,17.00%,20.26%,17.76%,60.78,82.00%,35.29%,11.82%,10.53%,34% or more,42.11%,58% or more,63.16%,76% or more
2019,Drewsey SD 13,*,*,77.00% or more,*,8.40% or less,*,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2229,Dufur SD 29,65,86.15%,77.00% or more,1.54%,8.40% or less,0.00%,1.60% or less,>95%,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,>95%,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,100.00%,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2043,Eagle Point SD 9,629,74.24%,77.00% or more,13.83%,8.40% or less,0.32%,1.60% or less,94.12%,95.00%,91.49%,95.00%,90.00%,95.00%,9.76%,26.93%,<5%,15.73%,<5%,27.53%,92.16%,95.00%,91.49%,95.00%,90.00%,95.00%,9.52%,20.10%,<5%,9.75%,<5%,6.12%,94.38%,100.00%,75.86%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,20.14%,23.11%,38.55%,26.00%,35.61%,27.55%,16.31%,16.18%,23.94%,17.00%,8.98%,17.76%,62.50,82.00%,<5%,11.82%,11.76%,34% or more,70.59%,58% or more,82.35%,76% or more
2203,Echo SD 5,30,100.00%,77.00% or more,0.00%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2217,Elgin SD 23,70,92.86%,77.00% or more,1.43%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
1998,Elkton SD 34,27,88.89%,77.00% or more,3.70%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2221,Enterprise SD 21,77,84.42%,77.00% or more,2.60%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,100.00%,100.00%,85.71%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
1930,Estacada SD 108,389,90.23%,77.00% or more,1.29%,8.40% or less,0.77%,1.60% or less,79.41%,95.00%,67.57%,95.00%,66.67%,95.00%,34.62%,26.93%,16.00%,15.73%,33.33%,27.53%,76.47%,95.00%,64.86%,95.00%,70.37%,95.00%,24.00%,20.10%,8.33%,9.75%,6.25%,6.12%,98.08%,100.00%,78.69%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,9.88%,23.11%,25.44%,26.00%,24.92%,27.55%,8.49%,16.18%,8.34%,17.00%,20.93%,17.76%,61.11,82.00%,16.67%,11.82%,26.67%,34% or more,53.33%,58% or more,63.33%,76% or more
2082,Eugene SD 4J,2290,77.55%,77.00% or more,7.77%,8.40% or less,1.97%,1.60% or less,79.79%,95.00%,57.22%,95.00%,18.60%,95.00%,17.12%,26.93%,23.30%,15.73%,8.33%,27.53%,78.76%,95.00%,57.22%,95.00%,11.63%,95.00%,21.53%,20.10%,21.36%,9.75%,6.67%,6.12%,97.76%,100.00%,74.38%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,29.87%,23.11%,24.63%,26.00%,39.18%,27.55%,18.60%,16.18%,12.20%,17.00%,26.66%,17.76%,49.36,82.00%,35.90%,11.82%,22.45%,34% or more,66.33%,58% or more,78.57%,76% or more
2193,Falls City SD 57,30,73.33%,77.00% or more,6.67%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2084,Fern Ridge SD 28J,283,69.61%,77.00% or more,16.25%,8.40% or less,3.18%,1.60% or less,>95%,95.00%,90.48%,95.00%,42.11%,95.00%,16.67%,26.93%,25.00%,15.73%,*,27.53%,>95%,95.00%,90.48%,95.00%,42.11%,95.00%,20.83%,20.10%,6.25%,9.75%,*,6.12%,100.00%,100.00%,77.78%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,22.75%,23.11%,13.10%,26.00%,*,27.55%,27.25%,16.18%,24.34%,17.00%,*,17.76%,35.71,82.00%,57.14%,11.82%,*,34% or more,*,58% or more,*,76% or more
2241,Forest Grove SD 15,867,73.24%,77.00% or more,5.77%,8.40% or less,2.42%,1.60% or less,77.78%,95.00%,82.61%,95.00%,85.96%,95.00%,11.11%,26.93%,<5%,15.73%,8.70%,27.53%,77.78%,95.00%,79.71%,95.00%,80.70%,95.00%,24.44%,20.10%,<5%,9.75%,<5%,6.12%,97.35%,100.00%,68.92%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,17.35%,23.11%,32.85%,26.00%,35.36%,27.55%,<5%,16.18%,15.31%,17.00%,13.44%,17.76%,75.95,82.00%,18.99%,11.82%,22.22%,34% or more,74.07%,58% or more,81.48%,76% or more
2248,Fossil SD 21J,142,100.00%,77.00% or more,0.00%,8.40% or less,0.00%,1.60% or less,17.86%,95.00%,16.67%,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,17.86%,95.00%,8.33%,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,100.00%,100.00%,85.71%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2020,Frenchglen SD 16,*,*,77.00% or more,*,8.40% or less,*,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2245,Gaston SD 511J,87,91.95%,77.00% or more,3.45%,8.40% or less,1.15%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,90.91%,100.00%,>95%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,>95,82.00%,<5%,11.82%,*,34% or more,*,58% or more,*,76% or more
2137,Gervais SD 1,211,78.67%,77.00% or more,9.00%,8.40% or less,1.90%,1.60% or less,85.00%,95.00%,63.64%,95.00%,46.15%,95.00%,20.00%,26.93%,45.45%,15.73%,*,27.53%,85.00%,95.00%,63.64%,95.00%,38.46%,95.00%,26.67%,20.10%,18.18%,9.75%,*,6.12%,100.00%,100.00%,66.67%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,15.38%,23.11%,<5%,26.00%,*,27.55%,11.57%,16.18%,<5%,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
1931,Gladstone SD 115,256,76.95%,77.00% or more,3.52%,8.40% or less,3.52%,1.60% or less,88.24%,95.00%,>95%,95.00%,>95%,95.00%,20.00%,26.93%,<5%,15.73%,18.75%,27.53%,88.24%,95.00%,>95%,95.00%,>95%,95.00%,13.33%,20.10%,<5%,9.75%,12.50%,6.12%,100.00%,100.00%,62.50%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,28.67%,23.11%,39.62%,26.00%,22.85%,27.55%,24.51%,16.18%,15.24%,17.00%,5.24%,17.76%,53.85,82.00%,34.62%,11.82%,23.08%,34% or more,61.54%,58% or more,76.92%,76% or more
2000,Glendale SD 77,43,79.07%,77.00% or more,4.65%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,100.00%,100.00%,85.71%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
1992,Glide SD 12,143,53.85%,77.00% or more,8.39%,8.40% or less,0.00%,1.60% or less,94.44%,95.00%,>95%,95.00%,*,95.00%,13.33%,26.93%,<5%,15.73%,*,27.53%,94.12%,95.00%,>95%,95.00%,*,95.00%,7.14%,20.10%,<5%,9.75%,*,6.12%,96.55%,100.00%,57.14%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,19.55%,23.11%,28.07%,26.00%,*,27.55%,23.42%,16.18%,13.79%,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2054,Grants Pass SD 7,884,70.14%,77.00% or more,14.25%,8.40% or less,0.79%,1.60% or less,>95%,95.00%,92.86%,95.00%,85.96%,95.00%,12.68%,26.93%,12.00%,15.73%,20.00%,27.53%,>95%,95.00%,87.50%,95.00%,84.21%,95.00%,12.68%,20.10%,10.64%,9.75%,6.82%,6.12%,100.00%,100.00%,76.92%,86.22%,37.50%,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,28.56%,23.11%,44.38%,26.00%,34.42%,27.55%,23.82%,16.18%,24.35%,17.00%,16.24%,17.76%,64.52,82.00%,25.81%,11.82%,16.67%,34% or more,46.67%,58% or more,53.33%,76% or more
2100,Greater Albany Public SD 8J,1312,72.94%,77.00% or more,7.93%,8.40% or less,0.30%,1.60% or less,>95%,95.00%,93.88%,95.00%,88.16%,95.00%,9.09%,26.93%,11.90%,15.73%,16.13%,27.53%,>95%,95.00%,92.86%,95.00%,85.53%,95.00%,9.18%,20.10%,<5%,9.75%,<5%,6.12%,100.00%,100.00%,68.42%,86.22%,*,100.00%,20.00%,70.30%,*,61.42%,*,63.65%,<5%,50.89%,*,47.37%,*,47.79%,29.62%,23.11%,40.41%,26.00%,38.97%,27.55%,25.22%,16.18%,22.79%,17.00%,18.99%,17.76%,60.40,82.00%,31.68%,11.82%,22.06%,34% or more,58.82%,58% or more,64.71%,76% or more
2183,Gresham-Barlow SD 10J,1616,74.20%,77.00% or more,9.41%,8.40% or less,2.10%,1.60% or less,80.71%,95.00%,82.39%,95.00%,56.31%,95.00%,10.19%,26.93%,12.26%,15.73%,12.96%,27.53%,80.00%,95.00%,83.10%,95.00%,51.46%,95.00%,12.15%,20.10%,6.54%,9.75%,<5%,6.12%,98.73%,100.00%,68.00%,86.22%,*,100.00%,*,70.30%,<5%,61.42%,*,63.65%,*,50.89%,<5%,47.37%,*,47.79%,23.59%,23.11%,22.15%,26.00%,23.06%,27.55%,16.54%,16.18%,8.67%,17.00%,7.02%,17.76%,56.94,82.00%,27.08%,11.82%,16.67%,34% or more,56.41%,58% or more,64.10%,76% or more
2014,Harney County SD 3,121,85.95%,77.00% or more,2.48%,8.40% or less,2.48%,1.60% or less,>95%,95.00%,*,95.00%,63.64%,95.00%,*,26.93%,*,15.73%,*,27.53%,>95%,95.00%,*,95.00%,54.55%,95.00%,10.00%,20.10%,*,9.75%,*,6.12%,100.00%,100.00%,*,86.22%,77.78%,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,25.29%,16.18%,*,17.00%,*,17.76%,66.67,82.00%,28.57%,11.82%,*,34% or more,*,58% or more,*,76% or more
2015,Harney County SD 4,83,98.80%,77.00% or more,0.00%,8.40% or less,0.00%,1.60% or less,50.00%,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,50.00%,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,92.86%,100.00%,57.14%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2023,Harney County Union High SD 1J,124,100.00%,77.00% or more,0.00%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,100.00%,100.00%,30.00%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,>95,82.00%,<5%,11.82%,*,34% or more,*,58% or more,*,76% or more
2114,Harper SD 66,19,73.68%,77.00% or more,5.26%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2099,Harrisburg SD 7J,133,75.19%,77.00% or more,9.02%,8.40% or less,0.75%,1.60% or less,87.50%,95.00%,>95%,95.00%,*,95.00%,8.33%,26.93%,*,15.73%,*,27.53%,87.50%,95.00%,>95%,95.00%,*,95.00%,<5%,20.10%,*,9.75%,*,6.12%,97.67%,100.00%,60.00%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,26.22%,23.11%,*,26.00%,*,27.55%,32.73%,16.18%,*,17.00%,*,17.76%,>95,82.00%,<5%,11.82%,*,34% or more,*,58% or more,*,76% or more
2201,Helix SD 1,20,100.00%,77.00% or more,0.00%,8.40% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.93%,*,15.73%,*,27.53%,*,95.00%,*,95.00%,*,95.00%,*,20.10%,*,9.75%,*,6.12%,*,100.00%,*,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,*,23.11%,*,26.00%,*,27.55%,*,16.18%,*,17.00%,*,17.76%,*,82.00%,*,11.82%,*,34% or more,*,58% or more,*,76% or more
2206,Hermiston SD 8,632,76.58%,77.00% or more,13.29%,8.40% or less,0.16%,1.60% or less,>95%,95.00%,>95%,95.00%,68.57%,95.00%,11.48%,26.93%,6.67%,15.73%,8.33%,27.53%,>95%,95.00%,>95%,95.00%,88.57%,95.00%,11.67%,20.10%,<5%,9.75%,<5%,6.12%,96.67%,100.00%,83.87%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,25.96%,23.11%,36.12%,26.00%,54.21%,27.55%,18.68%,16.18%,19.82%,17.00%,14.59%,17.76%,82.35,82.00%,<5%,11.82%,0.00%,34% or more,88.89%,58% or more,100.00%,76% or more
2239,Hillsboro SD 1J,2758,82.92%,77.00% or more,5.51%,8.40% or less,1.74%,1.60% or less,85.54%,95.00%,85.71%,95.00%,63.51%,95.00%,22.16%,26.93%,12.63%,15.73%,12.40%,27.53%,86.35%,95.00%,83.61%,95.00%,58.77%,95.00%,21.32%,20.10%,8.15%,9.75%,<5%,6.12%,97.29%,100.00%,75.78%,86.22%,92.86%,100.00%,23.53%,70.30%,42.86%,61.42%,*,63.65%,16.67%,50.89%,40.00%,47.37%,*,47.79%,14.65%,23.11%,22.96%,26.00%,33.69%,27.55%,13.73%,16.18%,14.18%,17.00%,10.75%,17.76%,73.79,82.00%,17.96%,11.82%,17.95%,34% or more,46.15%,58% or more,71.79%,76% or more
2024,Hood River County SD,539,82.75%,77.00% or more,4.64%,8.40% or less,0.19%,1.60% or less,82.14%,95.00%,76.67%,95.00%,74.19%,95.00%,11.63%,26.93%,<5%,15.73%,<5%,27.53%,82.14%,95.00%,76.67%,95.00%,74.19%,95.00%,13.95%,20.10%,<5%,9.75%,<5%,6.12%,100.00%,100.00%,72.00%,86.22%,*,100.00%,*,70.30%,*,61.42%,*,63.65%,*,50.89%,*,47.37%,*,47.79%,36.33%,23.11%,43.31%,26.00%,46.59%,27.55%,28.70%,16.18%,31.03%,17.00%,29.64%,17.76%,69.70,82.00%,12.12%,11.82%,25.00%,34% or more,50.00%,58% or more,75.00%,76% or more
