Institution ID,Institution Name,Total Student Count,LRE Students >80%,LRE Students >80% Target,LRE Students <40%,LRE Students <40% Target,LRE Students Separate Settings,LRE Students Separate Settings Target,Elementary School Participation ELA,Elementary School Participation ELA Target,Middle School Participation ELA,Middle School Participation ELA Target,High School Participation ELA,High School Participation ELA Target,Elementary School Meet/Exceed ELA,Elementary School Meet/Exceed ELA Target,Middle School Meet/Exceed ELA,Middle School Meet/Exceed ELA Target,High School Meet/Exceed ELA,High School Meet/Exceed ELA Target,Elementary School Participation Math,Elementary School Participation Math Target,Middle School Participation Math,Middle School Participation Math Target,High School Participation Math,High School Participation Math Target,Elementary School Meet/Exceed Math,Elementary School Meet/Exceed Math Target,Middle School Meet/Exceed Math,Middle School Meet/Exceed Math Target,High School Meet/Exceed Math,High School Meet/Exceed Math Target,Special Education Eligibility,Special Education Eligibility Target,Parent Involvement,Parent Involvement Target,Secondary Transition,Secondary Transition Target,Alternate Assessment Elementary ELA,Alternate Assessment Elementary ELA Target,Alternate Assessment Middle ELA,Alternate Assessment Middle ELA Target,Alternate Assessment High ELA,Alternate Assessment High School ELA Target,Alternate Assessment Elementary Math,Alternate Assessment Elementary Math Target,Alternate Assessment Middle Math,Alternate Assessment Middle Math Target,Alternate Assessment High Math,Alternate Assessment High School Math Target,Gap In Proficiency Elementary ELA,Gap In Proficiency Elementary ELA Target,Gap In Proficiency Middle ELA,Gap In Proficiency Middle ELA Target,Gap In Proficiency High School ELA,Gap In Proficiency High School ELA Target,Gap In Proficiency Elementary Math,Gap In Proficiency Elementary Math Target,Gap In Proficiency Middle Math,Gap In Proficiency Middle Math Target,Gap In Proficiency High School Math,Gap In Proficiency High School Math Target,SuspExplFg,SuspExplFg Target (% of Districts),SuspExplRaceEthnicityFg,SuspExplRaceEthnicityFg Target (% of Districts),DisPrptnRprsntnFg,DisPrptnRprsntnFg Target (% of Districts),DisPrptnRprsntnDsbltyFg,DisPrptnRprsntnDsbltyFg Target (% of Districts),IEP 4Yr Cohort Grad 18-19,IEP 4Yr Cohort Grad 18-19 Target,IEP Dropout 18-19,IEP Dropout 18-19 Target,Higher Ed,Higher Ed Target,Higher Ed/Employed,Higher Ed/Employed Target,Higher Ed/Training/Employed,Higher Ed/Training/Employed Target
1965,Coos Bay SD 9,465,78.06%,76.00% or more,11.18%,9.00% or less,0.00%,1.70% or less,82.93%,95.00%,89.47%,95.00%,42.86%,95.00%,13.79%,26.86%,<5%,15.52%,<5%,26.12%,80.49%,95.00%,92.11%,95.00%,42.86%,95.00%,14.29%,19.71%,<5%,9.18%,<5%,5.58%,100.00%,100.00%,86.11%,84.45%,100.00%,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,28.39%,23.72%,30.00%,27.88%,55.45%,28.54%,23.33%,18.18%,16.02%,19.00%,17.76%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,44,80.00%,56.00%,12.52%,12.50%,32.00% or more,62.50%,56.00% or more,68.75%,74.00% or more
1964,Coquille SD 8,183,80.33%,76.00% or more,9.84%,9.00% or less,0.00%,1.70% or less,85.71%,95.00%,64.29%,95.00%,53.85%,95.00%,11.11%,26.86%,25.00%,15.52%,16.67%,26.12%,80.95%,95.00%,50.00%,95.00%,30.77%,95.00%,11.76%,19.71%,<5%,9.18%,*,5.58%,100.00%,100.00%,71.43%,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,28.40%,23.72%,26.14%,27.88%,37.30%,28.54%,19.89%,18.18%,16.05%,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,<5,80.00%,83.33%,12.52%,12.50%,32.00% or more,62.50%,56.00% or more,62.50%,74.00% or more
2186,Corbett SD 39,151,90.07%,76.00% or more,1.99%,9.00% or less,1.32%,1.70% or less,88.24%,95.00%,78.57%,95.00%,50.00%,95.00%,6.67%,26.86%,<5%,15.52%,*,26.12%,82.35%,95.00%,71.43%,95.00%,50.00%,95.00%,<5%,19.71%,<5%,9.18%,*,5.58%,100.00%,100.00%,80.00%,84.45%,100.00%,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,34.76%,23.72%,50.00%,27.88%,*,28.54%,37.14%,18.18%,25.61%,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,75,80.00%,25.00%,12.52%,25.00%,32.00% or more,87.50%,56.00% or more,100.00%,74.00% or more
1901,Corvallis SD 509J,724,78.87%,76.00% or more,7.18%,9.00% or less,0.41%,1.70% or less,85.71%,95.00%,76.67%,95.00%,64.81%,95.00%,22.81%,26.86%,16.28%,15.52%,14.81%,26.12%,85.71%,95.00%,76.67%,95.00%,59.26%,95.00%,24.56%,19.71%,11.63%,9.18%,8.33%,5.58%,99.11%,100.00%,77.33%,84.45%,90.00%,100.00%,*,56.04%,*,48.15%,50.00%,57.10%,*,37.35%,*,40.89%,37.50%,44.72%,21.56%,23.72%,44.52%,27.88%,35.73%,28.54%,16.10%,18.18%,26.78%,19.00%,12.21%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,72.58,80.00%,11.29%,12.52%,35.71%,32.00% or more,92.86%,56.00% or more,92.86%,74.00% or more
2216,Cove SD 15,39,97.44%,76.00% or more,2.56%,9.00% or less,0.00%,1.70% or less,*,95.00%,*,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,*,95.00%,*,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,*,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2086,Creswell SD 40,171,64.33%,76.00% or more,9.36%,9.00% or less,7.60%,1.70% or less,89.47%,95.00%,75.00%,95.00%,47.06%,95.00%,31.25%,26.86%,<5%,15.52%,<5%,26.12%,89.47%,95.00%,72.73%,95.00%,47.06%,95.00%,25.00%,19.71%,<5%,9.18%,<5%,5.58%,100.00%,100.00%,80.00%,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,24.56%,23.72%,43.59%,27.88%,53.13%,28.54%,31.98%,18.18%,29.33%,19.00%,28.57%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,56.52,80.00%,34.78%,12.52%,29.41%,32.00% or more,70.59%,56.00% or more,82.35%,74.00% or more
1970,Crook County SD,441,79.14%,76.00% or more,12.24%,9.00% or less,0.23%,1.70% or less,65.79%,95.00%,75.00%,95.00%,24.00%,95.00%,8.33%,26.86%,24.24%,15.52%,<5%,26.12%,65.79%,95.00%,72.73%,95.00%,8.00%,95.00%,<5%,19.71%,6.25%,9.18%,*,5.58%,98.28%,100.00%,78.26%,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,44.64%,23.72%,26.68%,27.88%,49.30%,28.54%,41.15%,18.18%,20.76%,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,79.49,80.00%,17.95%,12.52%,18.52%,32.00% or more,77.78%,56.00% or more,85.19%,74.00% or more
2089,Crow-Applegate-Lorane SD 66,35,88.57%,76.00% or more,5.71%,9.00% or less,0.00%,1.70% or less,*,95.00%,*,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,*,95.00%,*,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,100.00%,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2050,Culver SD 4,114,89.47%,76.00% or more,4.39%,9.00% or less,0.00%,1.70% or less,85.71%,95.00%,87.50%,95.00%,87.50%,95.00%,<5%,26.86%,14.29%,15.52%,<5%,26.12%,85.71%,95.00%,87.50%,95.00%,87.50%,95.00%,<5%,19.71%,<5%,9.18%,<5%,5.58%,*,100.00%,*,84.45%,100.00%,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,46.94%,23.72%,25.71%,27.88%,35.71%,28.54%,32.65%,18.18%,<5%,19.00%,9.76%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,>95,80.00%,0.00%,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2190,Dallas SD 2,508,72.64%,76.00% or more,6.30%,9.00% or less,0.20%,1.70% or less,91.11%,95.00%,84.44%,95.00%,>95%,95.00%,5.41%,26.86%,13.51%,15.52%,23.33%,26.12%,91.11%,95.00%,82.22%,95.00%,>95%,95.00%,10.81%,19.71%,<5%,9.18%,<5%,5.58%,98.11%,100.00%,77.78%,84.45%,100.00%,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,31.75%,23.72%,28.72%,27.88%,22.37%,28.54%,15.80%,18.18%,14.57%,19.00%,15.51%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,39.06,80.00%,54.69%,12.52%,28.57%,32.00% or more,57.14%,56.00% or more,64.29%,74.00% or more
2187,David Douglas SD 40,1118,76.92%,76.00% or more,9.48%,9.00% or less,4.20%,1.70% or less,81.05%,95.00%,83.51%,95.00%,65.08%,95.00%,18.92%,26.86%,9.33%,15.52%,25.64%,26.12%,78.95%,95.00%,82.47%,95.00%,69.84%,95.00%,9.59%,19.71%,9.46%,9.18%,<5%,5.58%,96.88%,100.00%,77.05%,84.45%,0.00%,100.00%,*,56.04%,16.67%,48.15%,*,57.10%,*,37.35%,16.67%,40.89%,*,44.72%,14.99%,23.72%,31.74%,27.88%,26.52%,28.54%,14.70%,18.18%,22.98%,19.00%,13.30%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,47.42,80.00%,40.21%,12.52%,4.76%,32.00% or more,38.10%,56.00% or more,59.52%,74.00% or more
2253,Dayton SD 8,106,83.02%,76.00% or more,11.32%,9.00% or less,0.00%,1.70% or less,*,95.00%,66.67%,95.00%,72.73%,95.00%,*,26.86%,*,15.52%,12.50%,26.12%,*,95.00%,55.56%,95.00%,72.73%,95.00%,*,19.71%,*,9.18%,<5%,5.58%,100.00%,100.00%,*,84.45%,100.00%,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,5.24%,28.54%,*,18.18%,*,19.00%,11.94%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,66.67,80.00%,16.67%,12.52%,6.67%,32.00% or more,53.33%,56.00% or more,60.00%,74.00% or more
2011,Dayville SD 16J,7,100.00%,76.00% or more,0.00%,9.00% or less,0.00%,1.70% or less,*,95.00%,*,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,*,95.00%,*,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,*,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2017,Diamond SD 7,*,*,76.00% or more,*,9.00% or less,*,1.70% or less,*,95.00%,*,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,*,95.00%,*,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,*,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2021,Double O SD 28,*,*,76.00% or more,*,9.00% or less,*,1.70% or less,*,95.00%,*,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,*,95.00%,*,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,*,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
1993,Douglas County SD 15,40,97.50%,76.00% or more,0.00%,9.00% or less,0.00%,1.70% or less,*,95.00%,*,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,*,95.00%,*,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,*,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
1991,Douglas County SD 4,698,63.47%,76.00% or more,21.92%,9.00% or less,0.43%,1.70% or less,83.02%,95.00%,93.10%,95.00%,80.00%,95.00%,9.38%,26.86%,<5%,15.52%,<5%,26.12%,81.13%,95.00%,89.66%,95.00%,73.53%,95.00%,6.25%,19.71%,<5%,9.18%,<5%,5.58%,97.12%,100.00%,70.59%,84.45%,25.00%,100.00%,41.67%,56.04%,70.59%,48.15%,*,57.10%,27.27%,37.35%,62.50%,40.89%,*,44.72%,33.71%,23.72%,41.08%,27.88%,35.88%,28.54%,32.01%,18.18%,28.07%,19.00%,16.52%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,41.07,80.00%,46.43%,12.52%,0.00%,32.00% or more,46.15%,56.00% or more,69.23%,74.00% or more
2019,Drewsey SD 13,*,*,76.00% or more,*,9.00% or less,*,1.70% or less,*,95.00%,*,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,*,95.00%,*,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,*,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2229,Dufur SD 29,62,91.94%,76.00% or more,3.23%,9.00% or less,0.00%,1.70% or less,*,95.00%,*,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,*,95.00%,*,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,62.50%,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2043,Eagle Point SD 9,603,73.80%,76.00% or more,14.26%,9.00% or less,0.66%,1.70% or less,94.64%,95.00%,>95%,95.00%,82.93%,95.00%,10.87%,26.86%,14.89%,15.52%,13.33%,26.12%,94.64%,95.00%,>95%,95.00%,75.61%,95.00%,<5%,19.71%,<5%,9.18%,<5%,5.58%,96.97%,100.00%,78.26%,84.45%,33.33%,100.00%,57.14%,56.04%,*,48.15%,*,57.10%,42.86%,37.35%,*,40.89%,*,44.72%,15.26%,23.72%,21.53%,27.88%,26.25%,28.54%,13.28%,18.18%,9.94%,19.00%,10.00%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,70,80.00%,10.00%,12.52%,3.03%,32.00% or more,33.33%,56.00% or more,66.67%,74.00% or more
2203,Echo SD 5,38,97.37%,76.00% or more,2.63%,9.00% or less,0.00%,1.70% or less,*,95.00%,*,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,*,95.00%,*,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,100.00%,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2217,Elgin SD 23,56,85.71%,76.00% or more,0.00%,9.00% or less,0.00%,1.70% or less,*,95.00%,>95%,95.00%,*,95.00%,*,26.86%,<5%,15.52%,*,26.12%,*,95.00%,>95%,95.00%,*,95.00%,*,19.71%,<5%,9.18%,*,5.58%,100.00%,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,22.58%,27.88%,*,28.54%,*,18.18%,6.45%,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
1998,Elkton SD 34,26,88.46%,76.00% or more,3.85%,9.00% or less,0.00%,1.70% or less,*,95.00%,*,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,*,95.00%,*,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,*,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2221,Enterprise SD 21,63,88.89%,76.00% or more,4.76%,9.00% or less,0.00%,1.70% or less,*,95.00%,88.89%,95.00%,83.33%,95.00%,*,26.86%,28.57%,15.52%,*,26.12%,*,95.00%,88.89%,95.00%,83.33%,95.00%,*,19.71%,<5%,9.18%,*,5.58%,100.00%,100.00%,85.71%,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,22.95%,27.88%,*,28.54%,*,18.18%,39.39%,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
1930,Estacada SD 108,354,87.57%,76.00% or more,1.69%,9.00% or less,1.69%,1.70% or less,69.57%,95.00%,73.91%,95.00%,67.57%,95.00%,18.75%,26.86%,<5%,15.52%,<5%,26.12%,69.57%,95.00%,69.57%,95.00%,70.27%,95.00%,12.50%,19.71%,7.14%,9.18%,<5%,5.58%,98.21%,100.00%,87.50%,84.45%,100.00%,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,17.79%,23.72%,30.94%,27.88%,48.77%,28.54%,8.65%,18.18%,7.67%,19.00%,33.33%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,73.33,80.00%,20.00%,12.52%,20.00%,32.00% or more,50.00%,56.00% or more,65.00%,74.00% or more
2082,Eugene SD 4J,2192,73.77%,76.00% or more,6.39%,9.00% or less,2.83%,1.70% or less,73.85%,95.00%,61.29%,95.00%,29.61%,95.00%,18.44%,26.86%,17.12%,15.52%,11.90%,26.12%,71.79%,95.00%,59.14%,95.00%,28.95%,95.00%,14.60%,19.71%,8.49%,9.18%,<5%,5.58%,98.33%,100.00%,81.15%,84.45%,73.33%,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,31.74%,23.72%,32.25%,27.88%,40.33%,28.54%,30.27%,18.18%,25.59%,19.00%,33.53%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,51,80.00%,33.47%,12.52%,22.22%,32.00% or more,63.49%,56.00% or more,71.43%,74.00% or more
2193,Falls City SD 57,33,78.79%,76.00% or more,3.03%,9.00% or less,0.00%,1.70% or less,*,95.00%,*,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,*,95.00%,*,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,*,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,16.67%,32.00% or more,66.67%,56.00% or more,100.00%,74.00% or more
2084,Fern Ridge SD 28J,234,70.51%,76.00% or more,15.38%,9.00% or less,3.85%,1.70% or less,89.29%,95.00%,93.55%,95.00%,50.00%,95.00%,19.05%,26.86%,<5%,15.52%,*,26.12%,88.89%,95.00%,93.55%,95.00%,60.00%,95.00%,10.00%,19.71%,<5%,9.18%,*,5.58%,100.00%,100.00%,77.78%,84.45%,100.00%,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,19.33%,23.72%,30.30%,27.88%,*,28.54%,20.93%,18.18%,21.00%,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,81.82,80.00%,0.00%,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2241,Forest Grove SD 15,827,76.66%,76.00% or more,4.23%,9.00% or less,1.33%,1.70% or less,87.30%,95.00%,91.67%,95.00%,86.67%,95.00%,8.51%,26.86%,7.69%,15.52%,8.16%,26.12%,84.13%,95.00%,88.33%,95.00%,86.67%,95.00%,6.52%,19.71%,<5%,9.18%,<5%,5.58%,93.75%,100.00%,80.30%,84.45%,75.00%,100.00%,25.00%,56.04%,*,48.15%,*,57.10%,14.29%,37.35%,*,40.89%,*,44.72%,17.54%,23.72%,25.27%,27.88%,33.31%,28.54%,14.39%,18.18%,12.02%,19.00%,11.39%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,56.86,80.00%,38.24%,12.52%,15.38%,32.00% or more,61.54%,56.00% or more,65.38%,74.00% or more
2248,Fossil SD 21J,110,99.09%,76.00% or more,0.91%,9.00% or less,0.00%,1.70% or less,36.36%,95.00%,*,95.00%,*,95.00%,62.50%,26.86%,*,15.52%,*,26.12%,36.36%,95.00%,*,95.00%,*,95.00%,62.50%,19.71%,*,9.18%,*,5.58%,94.12%,100.00%,87.50%,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,<5%,23.72%,*,27.88%,*,28.54%,<5%,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2020,Frenchglen SD 16,*,*,76.00% or more,*,9.00% or less,*,1.70% or less,*,95.00%,*,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,*,95.00%,*,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,*,100.00%,*,84.45%,*,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2245,Gaston SD 511J,83,90.36%,76.00% or more,2.41%,9.00% or less,2.41%,1.70% or less,*,95.00%,77.78%,95.00%,*,95.00%,*,26.86%,14.29%,15.52%,*,26.12%,*,95.00%,77.78%,95.00%,*,95.00%,*,19.71%,<5%,9.18%,*,5.58%,*,100.00%,83.33%,84.45%,100.00%,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,<5%,27.88%,*,28.54%,*,18.18%,5.71%,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,81.82,80.00%,0.00%,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
2137,Gervais SD 1,192,83.33%,76.00% or more,7.81%,9.00% or less,1.56%,1.70% or less,52.94%,95.00%,72.22%,95.00%,61.11%,95.00%,22.22%,26.86%,<5%,15.52%,30.00%,26.12%,52.94%,95.00%,72.22%,95.00%,72.22%,95.00%,11.11%,19.71%,<5%,9.18%,<5%,5.58%,94.44%,100.00%,86.67%,84.45%,100.00%,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,13.40%,23.72%,23.94%,27.88%,26.41%,28.54%,20.40%,18.18%,25.00%,19.00%,15.38%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,25.00%,32.00% or more,75.00%,56.00% or more,75.00%,74.00% or more
1931,Gladstone SD 115,276,72.10%,76.00% or more,7.97%,9.00% or less,5.43%,1.70% or less,93.33%,95.00%,>95%,95.00%,73.68%,95.00%,30.77%,26.86%,8.70%,15.52%,<5%,26.12%,93.33%,95.00%,91.67%,95.00%,73.68%,95.00%,23.08%,19.71%,9.09%,9.18%,<5%,5.58%,95.45%,100.00%,88.24%,84.45%,83.33%,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,12.50%,23.72%,30.59%,27.88%,28.70%,28.54%,8.65%,18.18%,10.62%,19.00%,<5%,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,70.37,80.00%,18.52%,12.52%,7.14%,32.00% or more,71.43%,56.00% or more,85.71%,74.00% or more
2000,Glendale SD 77,51,78.43%,76.00% or more,3.92%,9.00% or less,0.00%,1.70% or less,*,95.00%,*,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,*,95.00%,*,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,91.67%,100.00%,*,84.45%,83.33%,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,*,80.00%,*,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
1992,Glide SD 12,108,62.96%,76.00% or more,10.19%,9.00% or less,0.00%,1.70% or less,62.50%,95.00%,71.43%,95.00%,*,95.00%,*,26.86%,*,15.52%,*,26.12%,62.50%,95.00%,71.43%,95.00%,*,95.00%,*,19.71%,*,9.18%,*,5.58%,95.83%,100.00%,57.14%,84.45%,100.00%,100.00%,*,56.04%,*,48.15%,*,57.10%,*,37.35%,*,40.89%,*,44.72%,*,23.72%,*,27.88%,*,28.54%,*,18.18%,*,19.00%,*,19.76%,No ,62.00% or less,No ,0.00%,No ,0.00%,No ,0.00%,71.43,80.00%,0.00%,12.52%,*,32.00% or more,*,56.00% or more,*,74.00% or more
