Institution ID,Institution Name,Total Student Count,LRE Students >80%,LRE Students >80% Target,LRE Students <40%,LRE Students <40% Target,LRE Students Separate Settings,LRE Students Separate Settings Target,Elementary School Participation ELA,Elementary School Participation ELA Target,Middle School Participation ELA,Middle School Participation ELA Target,High School Participation ELA,High School Participation ELA Target,Elementary School Meet/Exceed ELA,Elementary School Meet/Exceed ELA Target,Middle School Meet/Exceed ELA,Middle School Meet/Exceed ELA Target,High School Meet/Exceed ELA,High School Meet/Exceed ELA Target,Elementary School Participation Math,Elementary School Participation Math Target,Middle School Participation Math,Middle School Participation Math Target,High School Participation Math,High School Participation Math Target,Elementary School Meet/Exceed Math,Elementary School Meet/Exceed Math Target,Middle School Meet/Exceed Math,Middle School Meet/Exceed Math Target,High School Meet/Exceed Math,High School Meet/Exceed Math Target,Special Education Eligibility,Special Education Eligibility Target,Parent Involvement,Parent Involvement Target,Secondary Transition,Secondary Transition Target,Alternate Assessment Elementary ELA,Alternate Assessment Elementary ELA Target,Alternate Assessment Middle ELA,Alternate Assessment Middle ELA Target,Alternate Assessment High ELA,Alternate Assessment High School ELA Target,Alternate Assessment Elementary Math,Alternate Assessment Elementary Math Target,Alternate Assessment Middle Math,Alternate Assessment Middle Math Target,Alternate Assessment High Math,Alternate Assessment High School Math Target,Gap In Proficiency Elementary ELA,Gap In Proficiency Elementary ELA Target,Gap In Proficiency Middle ELA,Gap In Proficiency Middle ELA Target,Gap In Proficiency High School ELA,Gap In Proficiency High School ELA Target,Gap In Proficiency Elementary Math,Gap In Proficiency Elementary Math Target,Gap In Proficiency Middle Math,Gap In Proficiency Middle Math Target,Gap In Proficiency High School Math,Gap In Proficiency High School Math Target,IEP 4Yr Cohort Grad 18-19,IEP 4Yr Cohort Grad 18-19 Target,IEP Dropout 18-19,IEP Dropout 18-19 Target,Higher Ed,Higher Ed Target,Higher Ed/Employed,Higher Ed/Employed Target,Higher Ed/Training/Employed,Higher Ed/Training/Employed Target
1970,Crook County SD,448,83.04%,77.00% or more,9.15%,8.70% or less,0.00%,1.60% or less,86.54%,95.00%,50.00%,95.00%,27.91%,95.00%,13.64%,26.90%,20.00%,15.63%,18.18%,26.83%,86.54%,95.00%,50.00%,95.00%,18.60%,95.00%,9.09%,19.91%,6.67%,9.47%,*,5.85%,97.33%,100.00%,78.26%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,28.38%,23.44%,41.39%,26.94%,21.01%,28.04%,27.04%,17.18%,27.15%,18.00%,*,18.76%,75,81.00%,12.50%,12.17%,13.79%,34% or more,58.62%,58% or more,89.66%,76% or more
2089,Crow-Applegate-Lorane SD 66,37,89.19%,77.00% or more,5.41%,8.70% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,100.00%,100.00%,83.33%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2050,Culver SD 4,94,88.30%,77.00% or more,5.32%,8.70% or less,0.00%,1.60% or less,*,95.00%,92.31%,95.00%,*,95.00%,*,26.90%,<5%,15.63%,*,26.83%,*,95.00%,>95%,95.00%,*,95.00%,*,19.91%,<5%,9.47%,*,5.85%,100.00%,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,46.30%,26.94%,*,28.04%,*,17.18%,20.00%,18.00%,*,18.76%,>95,81.00%,<5%,12.17%,33.33%,34% or more,83.33%,58% or more,83.33%,76% or more
2190,Dallas SD 2,507,65.68%,77.00% or more,6.90%,8.70% or less,0.79%,1.60% or less,93.48%,95.00%,85.42%,95.00%,90.24%,95.00%,18.60%,26.90%,11.11%,15.63%,22.86%,26.83%,93.48%,95.00%,79.17%,95.00%,87.80%,95.00%,20.93%,19.91%,<5%,9.47%,11.76%,5.85%,100.00%,100.00%,77.78%,85.34%,92.31%,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,21.09%,23.44%,34.97%,26.94%,17.88%,28.04%,12.80%,17.18%,15.85%,18.00%,<5%,18.76%,54.76,81.00%,38.10%,12.17%,10.00%,34% or more,40.00%,58% or more,60.00%,76% or more
2187,David Douglas SD 40,1132,78.27%,77.00% or more,11.22%,8.70% or less,3.00%,1.60% or less,86.54%,95.00%,94.44%,95.00%,77.46%,95.00%,12.82%,26.90%,11.39%,15.63%,20.41%,26.83%,85.58%,95.00%,92.22%,95.00%,73.24%,95.00%,9.09%,19.91%,5.19%,9.47%,<5%,5.85%,98.73%,100.00%,77.05%,85.34%,*,100.00%,8.33%,63.17%,*,54.79%,*,60.38%,8.33%,44.12%,*,44.13%,*,46.26%,19.15%,23.44%,23.63%,26.94%,25.12%,28.04%,14.79%,17.18%,19.73%,18.00%,13.40%,18.76%,58.62,81.00%,34.48%,12.17%,15.79%,34% or more,54.39%,58% or more,59.65%,76% or more
2253,Dayton SD 8,117,83.76%,77.00% or more,11.11%,8.70% or less,0.00%,1.60% or less,>95%,95.00%,83.33%,95.00%,*,95.00%,*,26.90%,<5%,15.63%,*,26.83%,>95%,95.00%,83.33%,95.00%,*,95.00%,*,19.91%,<5%,9.47%,*,5.85%,100.00%,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,21.62%,26.94%,*,28.04%,*,17.18%,15.94%,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2011,Dayville SD 16J,10,100.00%,77.00% or more,0.00%,8.70% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,*,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2017,Diamond SD 7,*,*,77.00% or more,*,8.70% or less,*,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,*,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2021,Double O SD 28,*,*,77.00% or more,*,8.70% or less,*,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,*,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
1993,Douglas County SD 15,45,95.56%,77.00% or more,2.22%,8.70% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,100.00%,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
1991,Douglas County SD 4,759,62.85%,77.00% or more,20.16%,8.70% or less,0.13%,1.60% or less,>95%,95.00%,90.91%,95.00%,89.74%,95.00%,14.55%,26.90%,14.29%,15.63%,19.35%,26.83%,>95%,95.00%,86.36%,95.00%,89.74%,95.00%,16.36%,19.91%,<5%,9.47%,<5%,5.85%,98.18%,100.00%,70.59%,85.34%,33.33%,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,23.64%,23.44%,34.35%,26.94%,17.09%,28.04%,19.05%,17.18%,24.17%,18.00%,13.44%,18.76%,39.53,81.00%,41.86%,12.17%,15.38%,34% or more,57.69%,58% or more,73.08%,76% or more
2019,Drewsey SD 13,*,*,77.00% or more,*,8.70% or less,*,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,*,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2229,Dufur SD 29,61,86.89%,77.00% or more,4.92%,8.70% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,100.00%,100.00%,*,85.34%,16.67%,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2043,Eagle Point SD 9,597,71.19%,77.00% or more,15.75%,8.70% or less,0.67%,1.60% or less,>95%,95.00%,90.70%,95.00%,90.70%,95.00%,9.09%,26.90%,5.41%,15.63%,11.43%,26.83%,>95%,95.00%,90.70%,95.00%,88.37%,95.00%,12.96%,19.91%,5.41%,9.47%,<5%,5.85%,99.01%,100.00%,78.26%,85.34%,40.00%,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,14.78%,23.44%,29.30%,26.94%,39.99%,28.04%,9.37%,17.18%,8.42%,18.00%,15.84%,18.76%,76.19,81.00%,<5%,12.17%,4.35%,34% or more,73.91%,58% or more,82.61%,76% or more
2203,Echo SD 5,40,100.00%,77.00% or more,0.00%,8.70% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,*,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2217,Elgin SD 23,60,93.33%,77.00% or more,1.67%,8.70% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,100.00%,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
1998,Elkton SD 34,24,91.67%,77.00% or more,4.17%,8.70% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,*,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2221,Enterprise SD 21,76,76.32%,77.00% or more,3.95%,8.70% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,100.00%,100.00%,85.71%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
1930,Estacada SD 108,376,87.23%,77.00% or more,2.13%,8.70% or less,1.06%,1.60% or less,70.59%,95.00%,83.33%,95.00%,70.83%,95.00%,20.83%,26.90%,9.09%,15.63%,37.50%,26.83%,76.47%,95.00%,86.67%,95.00%,75.00%,95.00%,15.38%,19.91%,8.70%,9.47%,5.88%,5.85%,100.00%,100.00%,78.69%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,17.05%,23.44%,22.24%,26.94%,21.92%,28.04%,8.50%,17.18%,5.07%,18.00%,21.52%,18.76%,74.36,81.00%,20.51%,12.17%,8.70%,34% or more,60.87%,58% or more,69.57%,76% or more
2082,Eugene SD 4J,2257,76.69%,77.00% or more,7.22%,8.70% or less,1.73%,1.60% or less,81.18%,95.00%,64.91%,95.00%,28.89%,95.00%,21.80%,26.90%,13.08%,15.63%,24.32%,26.83%,80.59%,95.00%,61.40%,95.00%,32.59%,95.00%,25.00%,19.91%,7.92%,9.47%,7.14%,5.85%,97.53%,100.00%,81.15%,85.34%,61.90%,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,29.92%,23.44%,33.99%,26.94%,25.57%,28.04%,21.57%,17.18%,24.87%,18.00%,20.02%,18.76%,62.64,81.00%,24.18%,12.17%,25.27%,34% or more,67.03%,58% or more,78.02%,76% or more
2193,Falls City SD 57,32,78.13%,77.00% or more,9.38%,8.70% or less,3.13%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,*,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2084,Fern Ridge SD 28J,238,73.95%,77.00% or more,15.97%,8.70% or less,3.36%,1.60% or less,80.00%,95.00%,90.48%,95.00%,61.11%,95.00%,7.14%,26.90%,33.33%,15.63%,<5%,26.83%,80.00%,95.00%,85.71%,95.00%,61.11%,95.00%,7.14%,19.91%,5.88%,9.47%,<5%,5.85%,100.00%,100.00%,77.78%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,33.98%,23.44%,10.00%,26.94%,49.35%,28.04%,41.92%,17.18%,16.34%,18.00%,18.67%,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2241,Forest Grove SD 15,834,76.14%,77.00% or more,4.80%,8.70% or less,2.04%,1.60% or less,88.52%,95.00%,78.69%,95.00%,>95%,95.00%,19.23%,26.90%,7.50%,15.63%,19.05%,26.83%,88.52%,95.00%,78.69%,95.00%,>95%,95.00%,21.15%,19.91%,<5%,9.47%,<5%,5.85%,96.58%,100.00%,68.92%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,11.52%,23.44%,27.87%,26.94%,22.64%,28.04%,10.93%,17.18%,14.00%,18.00%,7.77%,18.76%,68.18,81.00%,24.24%,12.17%,8.82%,34% or more,58.82%,58% or more,73.53%,76% or more
2248,Fossil SD 21J,112,99.11%,77.00% or more,0.89%,8.70% or less,0.00%,1.60% or less,31.58%,95.00%,20.00%,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,31.58%,95.00%,20.00%,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,97.56%,100.00%,87.50%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2020,Frenchglen SD 16,*,*,77.00% or more,*,8.70% or less,*,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,*,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2245,Gaston SD 511J,86,88.37%,77.00% or more,3.49%,8.70% or less,2.33%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,87.50%,100.00%,83.33%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2137,Gervais SD 1,189,80.42%,77.00% or more,10.05%,8.70% or less,1.59%,1.60% or less,65.00%,95.00%,81.25%,95.00%,80.00%,95.00%,15.38%,26.90%,<5%,15.63%,*,26.83%,65.00%,95.00%,81.25%,95.00%,66.67%,95.00%,7.69%,19.91%,<5%,9.47%,*,5.85%,96.15%,100.00%,86.67%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,19.47%,23.44%,28.57%,26.94%,*,28.04%,28.25%,17.18%,21.52%,18.00%,*,18.76%,>95,81.00%,<5%,12.17%,*,34% or more,*,58% or more,*,76% or more
1931,Gladstone SD 115,264,76.14%,77.00% or more,3.41%,8.70% or less,3.79%,1.60% or less,93.33%,95.00%,85.00%,95.00%,80.00%,95.00%,14.29%,26.90%,23.53%,15.63%,6.67%,26.83%,93.33%,95.00%,80.00%,95.00%,90.00%,95.00%,21.43%,19.91%,6.25%,9.47%,<5%,5.85%,96.77%,100.00%,88.24%,85.34%,85.71%,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,29.14%,23.44%,23.88%,26.94%,51.51%,28.04%,22.90%,17.18%,18.30%,18.00%,18.52%,18.76%,66.67,81.00%,20.00%,12.17%,10.53%,34% or more,68.42%,58% or more,68.42%,76% or more
2000,Glendale SD 77,49,79.59%,77.00% or more,6.12%,8.70% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,*,100.00%,85.71%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
1992,Glide SD 12,121,57.02%,77.00% or more,6.61%,8.70% or less,0.83%,1.60% or less,76.92%,95.00%,>95%,95.00%,*,95.00%,<5%,26.90%,<5%,15.63%,*,26.83%,76.92%,95.00%,>95%,95.00%,*,95.00%,<5%,19.91%,<5%,9.47%,*,5.85%,100.00%,100.00%,57.14%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,42.86%,23.44%,44.62%,26.94%,*,28.04%,40.82%,17.18%,15.38%,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2054,Grants Pass SD 7,822,64.60%,77.00% or more,15.69%,8.70% or less,0.36%,1.60% or less,>95%,95.00%,94.52%,95.00%,86.05%,95.00%,11.11%,26.90%,22.03%,15.63%,23.53%,26.83%,>95%,95.00%,93.15%,95.00%,83.72%,95.00%,13.58%,19.91%,<5%,9.47%,6.06%,5.85%,98.67%,100.00%,76.92%,85.34%,*,100.00%,*,63.17%,30.00%,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,27.55%,23.44%,34.50%,26.94%,34.89%,28.04%,20.63%,17.18%,24.49%,18.00%,15.16%,18.76%,70.49,81.00%,22.95%,12.17%,2.78%,34% or more,38.89%,58% or more,41.67%,76% or more
2100,Greater Albany Public SD 8J,1312,76.68%,77.00% or more,7.32%,8.70% or less,0.38%,1.60% or less,92.04%,95.00%,88.14%,95.00%,92.71%,95.00%,14.29%,26.90%,15.46%,15.63%,10.26%,26.83%,90.27%,95.00%,89.83%,95.00%,87.50%,95.00%,13.54%,19.91%,5.05%,9.47%,<5%,5.85%,100.00%,100.00%,75.29%,85.34%,66.67%,100.00%,*,63.17%,*,54.79%,54.55%,60.38%,*,44.12%,*,44.13%,*,46.26%,31.14%,23.44%,36.55%,26.94%,40.98%,28.04%,27.16%,17.18%,18.45%,18.00%,20.58%,18.76%,63.2,81.00%,28.00%,12.17%,14.67%,34% or more,68.00%,58% or more,73.33%,76% or more
2183,Gresham-Barlow SD 10J,1588,72.36%,77.00% or more,9.13%,8.70% or less,2.14%,1.60% or less,87.22%,95.00%,>95%,95.00%,83.81%,95.00%,11.93%,26.90%,10.43%,15.63%,11.25%,26.83%,85.71%,95.00%,92.06%,95.00%,74.29%,95.00%,16.82%,19.91%,<5%,9.47%,<5%,5.85%,99.32%,100.00%,68.00%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,21.22%,23.44%,27.19%,26.94%,26.87%,28.04%,7.17%,17.18%,15.29%,18.00%,13.22%,18.76%,65.31,81.00%,27.21%,12.17%,14.29%,34% or more,61.22%,58% or more,81.63%,76% or more
2014,Harney County SD 3,111,84.68%,77.00% or more,4.50%,8.70% or less,1.80%,1.60% or less,83.33%,95.00%,*,95.00%,*,95.00%,10.00%,26.90%,*,15.63%,*,26.83%,83.33%,95.00%,*,95.00%,*,95.00%,10.00%,19.91%,*,9.47%,*,5.85%,100.00%,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,10.75%,23.44%,*,26.94%,*,28.04%,16.42%,17.18%,*,18.00%,*,18.76%,57.89,81.00%,26.32%,12.17%,*,34% or more,*,58% or more,*,76% or more
2015,Harney County SD 4,97,97.94%,77.00% or more,0.00%,8.70% or less,0.00%,1.60% or less,42.86%,95.00%,63.64%,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,28.57%,95.00%,45.45%,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,94.44%,100.00%,57.14%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2023,Harney County Union High SD 1J,95,98.95%,77.00% or more,1.05%,8.70% or less,0.00%,1.60% or less,*,95.00%,54.55%,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,54.55%,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,96.55%,100.00%,30.00%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2114,Harper SD 66,21,95.24%,77.00% or more,4.76%,8.70% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,*,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2099,Harrisburg SD 7J,111,76.58%,77.00% or more,8.11%,8.70% or less,0.00%,1.60% or less,*,95.00%,70.00%,95.00%,10.00%,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,70.00%,95.00%,10.00%,95.00%,*,19.91%,*,9.47%,*,5.85%,100.00%,100.00%,60.00%,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,25.00%,34% or more,62.50%,58% or more,62.50%,76% or more
2201,Helix SD 1,17,100.00%,77.00% or more,0.00%,8.70% or less,0.00%,1.60% or less,*,95.00%,*,95.00%,*,95.00%,*,26.90%,*,15.63%,*,26.83%,*,95.00%,*,95.00%,*,95.00%,*,19.91%,*,9.47%,*,5.85%,*,100.00%,*,85.34%,*,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,*,23.44%,*,26.94%,*,28.04%,*,17.18%,*,18.00%,*,18.76%,*,81.00%,*,12.17%,*,34% or more,*,58% or more,*,76% or more
2206,Hermiston SD 8,666,78.68%,77.00% or more,14.41%,8.70% or less,0.30%,1.60% or less,>95%,95.00%,>95%,95.00%,91.30%,95.00%,14.29%,26.90%,11.63%,15.63%,8.33%,26.83%,>95%,95.00%,>95%,95.00%,89.13%,95.00%,17.86%,19.91%,<5%,9.47%,<5%,5.85%,100.00%,100.00%,80.00%,85.34%,50.00%,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,27.36%,23.44%,26.78%,26.94%,36.80%,28.04%,19.87%,17.18%,14.11%,18.00%,15.92%,18.76%,>95,81.00%,<5%,12.17%,6.67%,34% or more,60.00%,58% or more,73.33%,76% or more
2239,Hillsboro SD 1J,2732,81.59%,77.00% or more,5.49%,8.70% or less,2.16%,1.60% or less,88.66%,95.00%,82.05%,95.00%,61.83%,95.00%,18.46%,26.90%,9.13%,15.63%,7.27%,26.83%,88.66%,95.00%,79.12%,95.00%,56.99%,95.00%,18.97%,19.91%,5.50%,9.47%,<5%,5.85%,99.06%,100.00%,75.78%,85.34%,*,100.00%,25.00%,63.17%,12.50%,54.79%,*,60.38%,6.25%,44.12%,18.75%,44.13%,*,46.26%,19.73%,23.44%,28.40%,26.94%,36.22%,28.04%,16.23%,17.18%,16.37%,18.00%,17.82%,18.76%,80.28,81.00%,10.33%,12.17%,16.28%,34% or more,65.12%,58% or more,70.93%,76% or more
2024,Hood River County SD,519,80.15%,77.00% or more,4.62%,8.70% or less,0.39%,1.60% or less,77.78%,95.00%,78.38%,95.00%,56.76%,95.00%,12.90%,26.90%,12.00%,15.63%,11.11%,26.83%,77.78%,95.00%,75.68%,95.00%,51.35%,95.00%,16.13%,19.91%,8.33%,9.47%,11.76%,5.85%,100.00%,100.00%,80.56%,85.34%,62.50%,100.00%,*,63.17%,*,54.79%,*,60.38%,*,44.12%,*,44.13%,*,46.26%,34.16%,23.44%,28.00%,26.94%,33.61%,28.04%,24.57%,17.18%,18.18%,18.00%,8.50%,18.76%,66.67,81.00%,33.33%,12.17%,41.67%,34% or more,58.33%,58% or more,75.00%,76% or more
